Palavra,Frequencia
aaaaai,1
aas,1
aba,2
abaixo,6
abalar,1
abalaram,1
abale,2
abandonada,9
abandonadas,9
abandonado,5
abandonados,10
abandone,1
abandono,35
abandonou,2
abastece,1
abastecer,1
abastecido,1
abastecimento,3
abdicacao,1
abel,1
abelardo,1
abencoada,6
abencoado,9
abencoando,11
abencoar,4
abencoe,24
aberta,12
abertas,5
aberto,36
abertos,20
abertura,8
abismo,1
abordados,1
abordagem,4
abordamos,3
abordando,2
abordar,2
abraao,3
abraca,7
abracada,3
abracado,2
abracados,2
abracam,3
abracamos,2
abracando,10
abracao,2
abracar,6
abracaram,3
abracarmos,1
abrace,2
abracei,1
abracem,1
abraco,82
abracos,19
abracou,12
abram,1
abrangencia,2
abre,4
abri,1
abriga,2
abrigando,1
abrigo,3
abrigos,1
abril,3
abrindo,4
abrir,20
abriram,1
abrirao,1
abriremos,1
abrirmos,1
abriu,4
absoluta,3
absolutamente,3
absolutas,1
absoluto,7
absorventes,2
abstencoes,2
absurdo,22
abusar,1
abusiva,2
abuso,2
acaba,5
acabado,1
acabam,3
acabamos,5
acabando,1
acabar,37
acabaremos,1
acabasse,1
acabei,4
acabo,2
acabou,14
academia,9
academias,2
acai,3
acalmando,1
acalmem,1
acao,44
acarretar,1
acaso,4
acatar,1
ace,1
aceita,4
aceitam,1
aceitamos,1
aceitar,17
aceitarei,1
aceitaremos,1
aceitas,1
aceitavel,1
aceite,1
aceito,3
aceitou,2
acelera,1
acelerada,3
acelerado,7
acelerador,3
acelerados,1
aceleramos,1
acelerando,4
acelerar,10
acelerou,2
acena,1
acenando,2
acenaram,1
acende,2
acendendo,1
aceno,19
acenos,4
acerca,1
acerta,1
acertada,1
acertam,1
acertar,2
acertivo,1
acertou,1
acertoufoi,1
acessa,3
acessados,2
acessar,8
acesse,25
acessibilidade,46
acessiveis,8
acessivel,40
acesso,118
acessos,2
acha,11
acham,6
achando,1
achar,2
acharam,1
ache,1
achei,3
acho,2
achou,5
acidente,1
acidentes,2
acima,30
acionada,1
acionando,1
acionar,2
acionou,2
aclamada,1
acoes,109
acolha,2
acolhe,5
acolhedor,8
acolhedora,20
acolhedoras,1
acolhedores,1
acolhemos,1
acolhendo,1
acolher,12
acolheram,1
acolheu,6
acolhida,10
acolhidas,1
acolhido,2
acolhidos,2
acolhimento,47
acolhimentos,1
acomete,2
acompamhar,1
acompanha,8
acompanhada,1
acompanhado,6
acompanhados,3
acompanham,3
acompanhamento,3
acompanhamos,2
acompanhando,14
acompanhar,36
acompanharam,5
acompanhe,29
acompanhei,1
acompanhem,4
acompanho,1
acompanhou,4
aconchego,1
aconteca,5
acontecam,1
acontece,19
acontecem,3
acontecendo,15
acontecer,95
acontecera,1
aconteceram,2
aconteceu,19
acontecia,1
acooorda,1
acorda,1
acordado,4
acordando,2
acordar,3
acordei,2
acordeon,1
acordo,15
acordoes,2
acordos,2
acordou,3
acostumados,1
acostumando,2
acostumar,1
acredita,117
acreditado,1
acreditam,54
acreditamos,15
acreditamosdia,1
acreditando,16
acreditar,33
acreditaram,2
acreditarem,2
acredite,5
acreditei,1
acreditem,3
acredito,34
acreditou,1
acs,1
acusa,2
acusacao,1
acusacoes,5
acusada,1
acusam,2
acusando,1
acusar,2
acusou,1
acustica,1
acusticos,1
adandonados,1
adaptadas,1
adaptado,1
adaptados,1
adaptar,1
adelmo,1
ademi,1
adepol,2
adequacoes,1
adequada,11
adequadas,2
adequado,6
adequados,2
aderida,1
adesao,3
adesiva,1
adesivaco,26
adesivados,1
adesivagem,1
adesivar,6
adesive,1
adesivo,15
adesivos,6
adiado,2
adianta,16
adiante,10
adicional,1
adicionar,3
adicionarem,1
adicione,5
adis,1
adivinha,2
adivinharem,1
adivinhem,1
adjetivos,1
adjunta,1
administra,1
administracao,27
administrada,2
administradas,3
administramos,1
administrar,21
administrativa,4
administrativo,6
administrei,4
administrou,3
admiracao,4
admiradora,1
admiradores,2
admiravam,1
admiravel,1
admiro,1
admita,1
admite,1
admitir,1
adocoes,1
adoecendo,1
adoeceu,1
adolescencia,1
adolescente,1
adolescentes,7
adora,2
adoram,1
adorar,1
adorei,1
adoro,3
adota,1
adotam,1
adotamos,1
adotar,6
adotaram,2
adote,1
adquirida,2
adquirido,2
adquirir,1
adquiriu,1
adriana,5
adriel,30
adriele,1
adrieles,1
adubos,1
adufepe,1
adultas,1
adulto,4
adultos,7
adversaria,12
adversario,6
adversarios,35
adversariosas,1
adversidades,1
advocacia,4
advogada,3
advogado,6
advogados,2
advoguei,1
aeeee,1
aerea,1
aereas,4
aeroclube,5
aerolandia,2
aeroporto,13
afastado,2
afastados,1
afastar,1
afastarmos,1
afastem,1
afazeres,1
afeta,8
afetada,1
afetado,1
afetam,6
afetando,2
afetiva,1
afeto,11
affare,1
afiada,1
afiadas,1
afiado,1
afinal,14
afirma,9
afirmacao,2
afirmam,3
afirmar,4
afirmo,1
afirmou,3
afligem,1
aflorados,1
afogados,5
afonso,2
africa,2
africana,1
africano,1
afroconveniencia,1
afroconveniente,1
afundar,1
agamenon,3
age,3
agem,1
agencia,2
agenda,65
agendado,1
agendados,2
agendamento,2
agendao,4
agendar,6
agendas,15
agende,1
agente,3
agentes,20
ageu,1
agil,3
agilidade,11
agilizar,5
aginaldo,3
agindo,2
agir,225
agiram,1
agitada,1
agitar,2
agiu,1
aglomeracao,1
agnes,2
ago,1
agonia,7
agora,620
agoraaaaa,1
agosto,17
agraciada,1
agradando,1
agradavel,3
agradece,4
agradecem,1
agradecemos,18
agradecendo,17
agradecer,49
agradecermos,1
agradeci,3
agradecida,1
agradecido,1
agradecidos,1
agradecimento,11
agradecimentos,1
agradeco,82
agrado,1
agravamento,1
agrediram,1
agrediu,1
agregador,2
agregar,2
agregara,1
agressoes,2
agressores,1
agricultor,1
agricultores,1
agricultura,4
agride,1
agripino,1
agro,1
agrupamento,16
agua,37
aguapes,1
aguarda,3
aguardada,1
aguardadas,1
aguardam,2
aguardamos,3
aguardando,4
aguardar,2
aguardava,2
aguarde,2
aguardem,2
aguardo,2
aguas,5
aguenta,5
aguentam,4
aguentar,7
aguerrida,1
aguerrido,1
aguiar,15
agulha,1
ah,12
ai,307
aichegou,1
aida,1
aiiii,1
ainda,611
aindamais,1
aipor,1
aires,8
airton,1
ajose,1
aju,7
ajucat,1
ajuda,23
ajudaaaaa,1
ajudado,3
ajudalas,1
ajudam,4
ajudando,11
ajudar,16
ajudaram,4
ajudarei,1
ajude,8
ajudei,4
ajudem,6
ajudou,8
ajuizada,1
ajustes,1
alaga,2
alagamento,1
alagamentos,23
alagavel,1
alagoanos,5
alagoas,26
alaide,1
alameda,1
alana,1
alarde,1
alargamento,1
alargar,2
alarmante,1
alarmantes,6
alarme,1
alavancar,1
albergues,2
albert,4
alberto,15
album,5
alcanca,2
alcancada,2
alcancadas,1
alcancala,1
alcancamos,4
alcancando,2
alcancar,12
alcancaremos,1
alcancarmos,2
alcancava,1
alcance,13
alcancou,5
alcantara,1
alcapao,1
alcides,1
alckmin,3
alcou,1
aldo,2
aleatoria,1
aleatorio,1
alece,1
alecrim,9
alegacoes,1
alegando,1
alegra,1
alegre,26
alegres,1
alegrevila,1
alegria,259
alegrias,2
alem,228
alemanha,2
alencar,5
alerta,8
alertaaaa,1
alertando,1
alertar,1
alertou,1
alessandra,1
alexandre,14
alexina,1
alfabetizacao,4
alfabetizar,1
alfredo,2
algo,34
alguem,46
algum,9
alguma,12
algumas,55
alguns,35
ali,31
aliada,6
aliado,7
aliados,13
alianca,6
aliancas,2
alias,5
alice,7
aliciamento,3
alimenta,1
alimentacao,9
alimentados,1
alimentamos,2
alimentar,13
alimento,3
alimentos,3
aline,1
alinhada,2
alinhadas,3
alinhado,1
alinhados,2
alinham,1
alinhamento,3
alinhamos,1
alinhando,2
alinhar,2
alisando,1
alisson,2
alita,2
aliviando,2
aliviar,1
alma,9
almeida,1
almeidao,4
almeja,1
almocando,1
almocar,6
almoco,7
almocou,1
alo,27
alongar,1
aloo,3
alooo,4
alta,30
altas,4
alteradas,1
alterando,1
alternativa,3
alternativas,3
alternativo,2
alternativos,2
alterou,1
altinhas,1
altiplano,4
altissimas,1
alto,45
altos,5
altura,4
alugase,1
aluguel,2
aluisio,4
aluna,3
alunas,3
aluno,1
alunos,66
alusao,4
alusivo,1
alvara,6
alvaras,1
alvares,1
alvaro,17
alves,18
alvirrubra,1
alvo,9
alvorada,4
ama,63
amada,14
amadeus,2
amado,8
amadoras,1
amadores,1
amadurecer,1
amadurecimento,2
amaiscom,1
amalia,1
amam,6
amamos,15
amanda,29
amanha,188
amanhaaa,1
amanhecer,3
amanheceu,2
amanheco,1
amar,6
amaralina,6
amarela,12
amarelinhos,2
amarelo,7
amaro,1
amarrada,1
amarrado,1
amarras,2
amartya,1
amassa,1
amasse,1
ambas,1
ambientais,4
ambiental,14
ambientalismo,1
ambientalistas,1
ambiente,56
ambientes,9
ambito,2
ambitos,2
ambos,2
ambulante,1
ambulantes,20
ambulatorio,1
ame,2
ameaca,13
ameacado,2
ameacando,4
ameacas,1
amedrontada,1
amei,1
amelia,6
amem,6
amendoeira,1
amendoim,1
amendoins,1
amenizada,1
america,15
americo,1
amiga,13
amigas,31
amigo,78
amigoirmao,1
amigos,217
amiguinhos,3
amizade,5
amizades,4
amo,34
amor,301
amores,1
amorim,1
amoroso,1
amorzinho,1
amos,1
amostra,3
amostradinho,4
amostral,1
amou,2
amparada,1
amparar,4
amparo,2
ampla,7
amplia,1
ampliacao,29
ampliada,1
ampliadas,3
ampliado,2
ampliados,1
ampliamos,3
ampliando,18
ampliar,81
ampliaremos,3
amplie,2
ampliei,2
ampliou,3
amupe,2
ana,21
analfabetas,1
analfabetismo,1
analisa,1
analisar,1
analisaram,1
analise,11
analisem,1
ananias,2
ancestral,2
ancestralidade,2
anda,13
andado,2
andam,7
andamento,14
andamos,3
andancas,1
andando,12
andar,31
andares,2
andas,1
andei,5
ando,4
andrade,7
andres,2
andreza,4
andriole,1
ane,4
anestesiologistas,1
anexando,1
anfiteatro,4
angelica,1
angelim,12
angelo,1
angulos,1
anielle,2
anil,3
anilzao,1
animacao,29
animacentro,2
animada,13
animadas,1
animado,28
animador,1
animados,1
animais,39
animaizinhos,1
animal,32
animalzinho,2
animar,3
animaram,1
animo,5
aninhos,2
anita,3
aniversariando,1
aniversariante,1
aniversario,45
aniversarios,2
anjo,2
anjos,1
ano,102
anos,343
anota,8
anotado,1
anotar,6
anote,1
anotem,6
anseios,6
anselmo,1
ansia,1
ansiedade,3
ansiosa,3
ansioso,8
ansiosos,1
antecipada,1
antecipado,2
antecipar,1
anteciparam,1
antena,4
antendimentos,1
anterior,1
anteriores,7
antes,50
antiga,9
antigas,1
antigo,17
antigos,8
antirracista,3
antirracistas,1
antivacina,3
antonio,57
anuais,2
anual,6
anualmente,2
anuario,1
anuencia,1
anularam,2
anuncia,3
anunciada,1
anunciado,1
anunciando,1
anunciar,2
anunciaram,1
anunciei,1
anuncios,1
anunciou,3
anysio,1
aonde,3
apaga,1
apagada,1
apagar,1
apague,1
apaixonada,3
apaixonado,7
apaixonar,3
aparato,1
aparatos,1
aparece,81
aparecem,7
aparecendo,1
aparecer,1
apareceu,4
aparecida,9
aparelho,1
aparelhos,4
apartamentos,9
apartar,1
apartir,1
apelar,1
apenas,109
aperta,11
apertado,7
apertando,3
apertar,31
apertaram,1
aperte,2
aperto,7
apertos,1
apesar,6
apice,1
aplaudidos,1
aplaudindo,2
aplauso,1
aplicabilidade,1
aplicada,1
aplicadas,2
aplicado,3
aplicados,1
aplicativo,26
aplicativos,8
aplicou,1
apodrecida,1
apoia,18
apoiado,3
apoiador,10
apoiadora,2
apoiadoras,4
apoiadores,23
apoiam,6
apoiamos,4
apoiando,13
apoiar,44
apoiaremos,1
apoie,6
apoio,486
apoios,4
apoiou,1
aponta,11
apontada,1
apontado,1
apontam,5
apontamos,1
apontando,4
aporte,2
apos,41
aposentada,1
aposentadas,1
aposentados,1
aposta,2
apostam,1
apostamos,1
apostando,2
apostar,1
apostaram,1
apostas,1
aposte,4
app,1
apreciar,2
apreco,1
apreendeu,1
apreendidos,2
aprenda,1
aprende,1
aprendem,1
aprendemos,2
aprendendo,2
aprender,4
aprenderao,1
aprendeu,6
aprendi,7
aprendizado,13
aprendizados,1
aprendizagem,5
apresenta,6
apresentacao,9
apresentacoes,1
apresentada,2
apresentadas,2
apresentado,5
apresentador,7
apresentadoras,1
apresentados,1
apresentam,3
apresentamos,16
apresentando,40
apresentar,62
apresentaram,1
apresentarmos,2
apresentei,8
apresentem,1
apresentou,3
aprigio,2
aprimorada,1
aprimorado,1
aprimorar,3
aprisionou,1
aprova,1
aprovacao,13
aprovada,4
aprovadas,1
aprovado,16
aprovados,6
aprovar,2
aprovaram,3
aproveita,11
aproveitamos,5
aproveitando,7
aproveitar,12
aproveitaram,1
aproveite,4
aproveitei,8
aproveito,6
aproveitou,4
aprovou,1
aproxima,6
aproximadamente,1
aproximam,1
aproximando,2
aproximar,3
apura,2
apuracao,2
apurados,1
apurar,1
apurou,1
aqu,1
aquaticos,1
aquece,1
aquecendo,1
aquecer,2
aqueceremos,1
aquecido,4
aquecidos,1
aqui,461
ar,27
araca,2
aracagi,1
aracajuana,14
aracajuanas,118
aracajuaninhos,1
aracajuano,18
aracajuanos,164
aracajuavancacom,1
aracajuavancacomluiz,3
aracajuuuuu,2
aracape,5
aracvaju,1
aragao,2
araguaia,3
arapuan,5
araripe,1
araujo,11
arborizacao,2
arbustos,1
arcaicas,1
arcanjos,3
arcebispo,8
arcondicionado,8
arcoverde,1
ardilosamente,1
arduamente,1
area,79
areal,1
areas,84
areia,7
areias,8
areinha,3
arena,1
arengue,1
areninhas,4
argumenta,1
argumentos,3
argumentou,1
aricanduva,1
arma,11
armadas,1
armadilhas,1
armados,1
armamentos,1
armar,1
armas,7
armazem,1
arnaud,1
aroeiras,1
aroldo,1
arquibancadas,1
arquidiocese,3
arquitetado,1
arquitetonico,2
arquitetura,1
arquivada,1
arquivo,3
arquivos,1
arquivou,1
arraaaaaaaaaaaaasta,1
arraes,8
arrancar,1
arranjar,1
arrasaram,1
arrasou,3
arrasta,16
arrastamos,3
arrastando,6
arrastao,41
arraste,6
arrastoes,1
arrastou,4
arrecadado,2
arrecadados,1
arredonda,1
arregacar,1
arregacaram,1
arregacou,1
arregou,2
arrepender,1
arrepiar,4
arretada,5
arretado,4
arrisca,1
arriscar,5
arrisquei,1
arrocha,7
arrochadas,1
arrochando,1
arrodeia,1
arrodeio,1
arrogancia,4
arrojados,1
arrooooocha,1
arroz,1
arruaceiros,1
arruda,5
arrumada,3
arrumamos,1
arrumando,1
arrumar,3
arsban,1
arte,34
artes,6
artesanato,8
artesaos,3
arthur,1
articulacao,1
articulada,1
articular,1
artificial,10
artificio,1
artigo,1
artilheiro,2
artista,4
artistas,34
artistica,2
artisticas,2
artisticasculturais,1
artistico,3
artur,1
aruana,8
arvore,6
arvores,15
ascender,1
asfaltadas,1
asfaltado,1
asfaltar,1
asfalto,33
asforse,2
aspan,1
aspectos,4
aspiracoes,4
asplan,2
ass,1
assassinadas,1
assassinados,1
assassinos,1
assedio,11
assedios,1
assegura,2
assegurado,1
assegurados,3
asseguramos,1
assegurando,4
assegurar,8
assegure,1
asseguro,1
assembleia,29
assentamento,2
assessora,1
assessores,2
assessoria,3
assessorias,1
assiduidade,1
assim,253
assina,3
assinada,4
assinado,9
assinamos,9
assinando,4
assinar,4
assinaram,4
assinatura,16
assinaturas,1
assinei,7
assino,1
assinou,4
assis,5
assista,37
assistam,2
assiste,1
assistencia,40
assistencial,1
assistencialismo,1
assistente,2
assisti,1
assistia,1
assistida,3
assistido,2
assistir,18
assistirem,1
assistiu,2
assisto,1
associacao,15
associacoes,3
associada,1
associados,2
associar,1
assuma,2
assume,1
assumi,4
assumida,1
assumido,3
assumidos,1
assumimos,15
assumindo,3
assumir,11
assumirmos,1
assumo,7
assunto,22
assuntos,1
assusta,1
assustador,1
assustar,1
astral,2
ataca,10
atacada,1
atacado,1
atacam,1
atacar,9
atacou,1
atalaia,12
ataque,6
ataques,28
ate,326
ateee,1
atencao,107
atenda,3
atendam,2
atende,2
atendem,3
atendemos,1
atendendo,6
atender,33
atenderia,1
atendeu,2
atendidas,4
atendido,3
atendidos,2
atendimento,123
atendimentos,14
atenta,1
atentado,4
atentamente,4
atento,20
atentos,6
atermos,1
atesta,1
atestada,1
atestou,1
atheneu,7
atingem,3
atingida,2
atingidas,3
atingido,2
atingimos,1
atingindo,1
atingir,2
atingiu,2
atipica,1
atipicas,12
atipicos,8
atirando,1
atitude,13
atitudes,9
ativa,11
ativado,3
ativamos,1
ativar,1
atividade,9
atividades,28
ativista,1
ativistas,1
ativo,3
ativos,1
atlanta,1
atlantic,1
atlantica,2
atlas,15
atlasintel,6
atleta,6
atletas,6
ato,31
ator,4
atos,7
atracao,2
atracoes,2
atrai,1
atraia,1
atraindo,6
atrair,5
atrapalha,1
atrapalhar,2
atras,22
atrasa,1
atrasada,1
atrasadao,1
atrasam,2
atrasaram,1
atraso,30
atrasos,4
atrasou,1
atrativo,3
atravancam,1
atraves,84
atravessei,2
atribuicoes,1
atua,4
atuacao,15
atuais,6
atual,116
atualidade,2
atualizacao,2
atualizada,1
atualizadas,1
atualizado,1
atualizados,1
atualizar,3
atualize,2
